ratio,state,congress
,AK,116
,AS,116
,DE,115
,HI,116
,ID,115
,ID,116
,MP,115
,ND,116
,PR,116
,SD,116
,VI,116
,VT,116
,WY,116
5,SD,115
3.5,ME,115
3,AK,115
3,CO,115
2.6,KS,115
2.4,UT,115
2.3333333333333333,KY,115
2.3333333333333333,LA,115
2.25,NY,115
2.1111111111111111,TN,115
2,AZ,115
2,DC,115
2,GU,115
2,MS,115
2,NE,115
2,PR,115
2,RI,116
1.875,MN,115
1.8,OR,116
1.7619047619047619,PA,115
1.7272727272727273,VA,115
1.6666666666666667,IN,115
1.6666666666666667,NJ,115
1.625,MO,115
1.5945945945945946,TX,115
1.5925925925925926,FL,115
1.5454545454545455,VA,116
1.5333333333333333,MI,115
1.5,AR,115
1.5,IA,115
1.5,IL,115
1.5,ME,116
1.5,NH,116
1.5,WI,115
1.4814814814814815,NY,116
1.4705882352941176,OH,115
1.4666666666666667,GA,115
1.4615384615384615,NC,115
1.4,OR,115
1.3333333333333333,NJ,116
1.3333333333333333,OK,115
1.2857142857142857,AL,115
1.2,CT,116
1.2,WA,115
1.1320754716981132,CA,116
1.1111111111111111,CA,115
1.0555555555555556,IL,116
1,AS,115
1,DC,116
1,DE,116
1,GU,116
1,IA,116
1,KS,116
1,MA,116
1,MA,115
1,MO,116
1,MP,116
1,MS,116
1,MT,115
1,MT,116
1,ND,115
1,NH,115
1,RI,115
1,VI,115
1,VT,115
1,WV,115
1,WY,115
0.9375,OH,116
0.91666666666666666667,TX,116
0.875,MD,116
0.875,MN,116
0.85714285714285714286,MI,116
0.8,WA,116
0.77777777777777777778,FL,116
0.75,NV,115
0.75,SC,115
0.75,UT,116
0.71428571428571428571,GA,116
0.71428571428571428571,NC,116
0.66666666666666666667,NM,116
0.57142857142857142857,CO,116
0.57142857142857142857,SC,116
0.5,AR,116
0.5,HI,115
0.5,LA,116
0.5,WI,116
0.44444444444444444444,TN,116
0.42857142857142857143,AL,116
0.42105263157894736842,PA,116
0.4,CT,115
0.4,OK,116
0.375,MD,115
0.33333333333333333333,AZ,116
0.33333333333333333333,NE,116
0.33333333333333333333,NM,115
0.33333333333333333333,WV,116
0.25,NV,116
0.22222222222222222222,IN,116
0.16666666666666666667,KY,116
