ratio_bills_passed_per_rep,state
5,SD
3.5,ME
3,CO
3,AK
2.6,KS
2.4,UT
2.3333333333333333,KY
2.3333333333333333,LA
2.25,NY
2.1111111111111111,TN
2,DC
2,AZ
2,GU
2,MS
2,NE
2,PR
1.875,MN
1.7619047619047619,PA
1.7272727272727273,VA
1.6666666666666667,IN
1.6666666666666667,NJ
1.625,MO
1.5945945945945946,TX
1.5925925925925926,FL
1.5333333333333333,MI
1.5,AR
1.5,IL
1.5,WI
1.5,IA
1.4705882352941176,OH
1.4666666666666667,GA
1.4615384615384615,NC
1.4,OR
1.3333333333333333,OK
1.2857142857142857,AL
1.2,WA
1.1111111111111111,CA
1,MT
1,RI
1,VI
1,MA
1,AS
1,NH
1,WY
1,VT
1,ND
1,WV
0.75,NV
0.75,SC
0.5,HI
0.4,CT
0.375,MD
0.33333333333333333333,NM
,DE
,MP
,ID
