bills_per_rep,state
2,RI
1.8,OR
1.5454545454545455,VA
1.5,ME
1.5,NH
1.4814814814814815,NY
1.3333333333333333,NJ
1.2,CT
1.1320754716981132,CA
1.0555555555555556,IL
1,MP
1,MT
1,GU
1,MS
1,MO
1,KS
1,DC
1,DE
1,IA
1,MA
0.9375,OH
0.91666666666666666667,TX
0.875,MD
0.875,MN
0.85714285714285714286,MI
0.8,WA
0.77777777777777777778,FL
0.75,UT
0.71428571428571428571,GA
0.71428571428571428571,NC
0.66666666666666666667,NM
0.57142857142857142857,SC
0.57142857142857142857,CO
0.5,LA
0.5,WI
0.5,AR
0.44444444444444444444,TN
0.42857142857142857143,AL
0.42105263157894736842,PA
0.4,OK
0.33333333333333333333,NE
0.33333333333333333333,WV
0.33333333333333333333,AZ
0.25,NV
0.22222222222222222222,IN
0.16666666666666666667,KY
,ND
,WY
,AS
,PR
,VI
,HI
,ID
,VT
,AK
,SD
