Committee,Subcommittee,Name,Title
House Permanent Select Committee on Intelligence,,Adam B. Schiff,Chair
House Permanent Select Committee on Intelligence,,James A. Himes,
House Permanent Select Committee on Intelligence,,Terri A. Sewell,
House Permanent Select Committee on Intelligence,,Andre Carson,
House Permanent Select Committee on Intelligence,,Jackie Speier,
House Permanent Select Committee on Intelligence,,Mike Quigley,
House Permanent Select Committee on Intelligence,,Eric Swalwell,
House Permanent Select Committee on Intelligence,,Joaquin Castro,
House Permanent Select Committee on Intelligence,,Denny Heck,
House Permanent Select Committee on Intelligence,,Peter Welch,
House Permanent Select Committee on Intelligence,,Sean Patrick Maloney,
House Permanent Select Committee on Intelligence,,Val Butler Demings,
House Permanent Select Committee on Intelligence,,Raja Krishnamoorthi,
House Permanent Select Committee on Intelligence,,Devin Nunes,Ranking Member
House Permanent Select Committee on Intelligence,,K. Michael Conaway,
House Permanent Select Committee on Intelligence,,Michael R. Turner,
House Permanent Select Committee on Intelligence,,Brad R. Wenstrup,
House Permanent Select Committee on Intelligence,,Chris Stewart,
House Permanent Select Committee on Intelligence,,"Eric A. ""Rick"" Crawford",
House Permanent Select Committee on Intelligence,,Elise M. Stefanik,
House Permanent Select Committee on Intelligence,,Will Hurd,
House Permanent Select Committee on Intelligence,,John Ratcliffe,
House Committee on Agriculture,,K. Michael Conaway,Ranking Member
House Committee on Agriculture,,Glenn Thompson,
House Committee on Agriculture,,Austin Scott,
House Committee on Agriculture,,"Eric A. ""Rick"" Crawford",
House Committee on Agriculture,,Scott DesJarlais,
House Committee on Agriculture,,Vicky Hartzler,
House Committee on Agriculture,,Doug LaMalfa,
House Committee on Agriculture,,Rodney Davis,
House Committee on Agriculture,,Ted S. Yoho,
House Committee on Agriculture,,Rick W. Allen,
House Committee on Agriculture,,Mike Bost,
House Committee on Agriculture,,David Rouzer,
House Committee on Agriculture,,Ralph Lee Abraham,
House Committee on Agriculture,,Trent Kelly,
House Committee on Agriculture,,James Comer,
House Committee on Agriculture,,Roger W. Marshall,
House Committee on Agriculture,,Don Bacon,
House Committee on Agriculture,,Neal P. Dunn,
House Committee on Agriculture,,Dusty Johnson,
House Committee on Agriculture,,James R. Baird,
House Committee on Agriculture,,Jim Hagedorn,
House Committee on Agriculture,,Collin C. Peterson,Chair
House Committee on Agriculture,,David Scott,
House Committee on Agriculture,,Jim Costa,
House Committee on Agriculture,,Marcia L. Fudge,
House Committee on Agriculture,,James P. McGovern,
House Committee on Agriculture,,Filemon Vela,
House Committee on Agriculture,,Stacey E. Plaskett,
House Committee on Agriculture,,Alma S. Adams,Vice Chair
House Committee on Agriculture,,Abigail Davis Spanberger,
House Committee on Agriculture,,Jahana Hayes,
House Committee on Agriculture,,Antonio Delgado,
House Committee on Agriculture,,TJ Cox,
House Committee on Agriculture,,Angie Craig,
House Committee on Agriculture,,Anthony Brindisi,
House Committee on Agriculture,,Josh Harder,
House Committee on Agriculture,,Kim Schrier,
House Committee on Agriculture,,Chellie Pingree,
House Committee on Agriculture,,Cheri Bustos,
House Committee on Agriculture,,Sean Patrick Maloney,
House Committee on Agriculture,,Salud O. Carbajal,
House Committee on Agriculture,,Al Lawson Jr.,
House Committee on Agriculture,,Tom O'Halleran,
House Committee on Agriculture,,Jimmy Panetta,
House Committee on Agriculture,,Ann Kirkpatrick,
House Committee on Agriculture,,Cynthia Axne,
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",Marcia L. Fudge,Chair
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",James P. McGovern,
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",Alma S. Adams,
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",Jahana Hayes,
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",Kim Schrier,
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",Al Lawson Jr.,
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",Jimmy Panetta,
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",Dusty Johnson,Ranking Member
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",Scott DesJarlais,
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",Rodney Davis,
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",Ted S. Yoho,
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",Don Bacon,
House Committee on Agriculture,"Nutrition, Oversight, and Department Operations",Jim Hagedorn,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Stacey E. Plaskett,Chair
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Antonio Delgado,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",TJ Cox,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Josh Harder,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Anthony Brindisi,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Kim Schrier,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Chellie Pingree,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Salud O. Carbajal,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Jimmy Panetta,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Sean Patrick Maloney,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Al Lawson Jr.,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Neal P. Dunn,Ranking Member
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Glenn Thompson,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Vicky Hartzler,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Doug LaMalfa,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Rodney Davis,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Ted S. Yoho,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",Mike Bost,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",James Comer,
House Committee on Agriculture,"Biotechnology, Horticulture, and Research",James R. Baird,
House Committee on Agriculture,Conservation and Forestry,Abigail Davis Spanberger,Chair
House Committee on Agriculture,Conservation and Forestry,Marcia L. Fudge,
House Committee on Agriculture,Conservation and Forestry,Tom O'Halleran,
House Committee on Agriculture,Conservation and Forestry,Chellie Pingree,
House Committee on Agriculture,Conservation and Forestry,Cynthia Axne,
House Committee on Agriculture,Conservation and Forestry,Doug LaMalfa,Ranking Member
House Committee on Agriculture,Conservation and Forestry,Rick W. Allen,
House Committee on Agriculture,Conservation and Forestry,Ralph Lee Abraham,
House Committee on Agriculture,Conservation and Forestry,Trent Kelly,
