names,descriptions,statuses,bill_committees,sponsors
H.R.7401,Strengthening Refugee Resettlement Act,Introduced,Judiciary; Foreign Affairs; Ways and Means,"Rep. Ellison, Keith [D-MN-5]"
H.R.7400,Making continuing appropriations for the Coast Guard.,Introduced,Appropriations,"Rep. Wild, Susan [D-PA-15]"
H.R.7399,Inaugural Fund Integrity Act,Introduced,House Administration; Oversight and Government,"Rep. Scanlon, Mary Gay [D-PA-7]"
H.R.7398,SPA Act,Introduced,House Administration,"Rep. Foster, Bill [D-IL-11]"
H.R.7397,"To provide further additional continuing appropriations for fiscal year 2019, and for other purposes.",Introduced,Appropriations; Budget,"Rep. Hoyer, Steny H. [D-MD-5]"
H.R.7396,Border Security and Child Safety Act,Introduced,Judiciary; Homeland Security,"Rep. Torres, Norma J. [D-CA-35]"
H.R.7395,"To direct the Secretary of Health and Human Services to allow delivery of medical supplies by unmanned aerial systems, and for other purposes.",Introduced,Energy and Commerce; Ways and Means; Natural Resources,"Rep. Meadows, Mark [R-NC-11]"
H.R.7394,"To prohibit the Federal financial regulators from requiring compliance with the accounting standards update of the Financial Accounting Standards Board related to current expected credit loss (""CECL""), to require the Securities and Exchange Commission to take certain impacts of a proposed accounting principle into consideration before accepting the principle, and for other purposes.",Introduced,Financial Services; Agriculture,"Rep. Luetkemeyer, Blaine [R-MO-3]"
H.R.7393,Medicaid Quality Care Act,Introduced,Energy and Commerce,"Rep. Faso, John J. [R-NY-19]"
H.R.7392,TRACED Act,Introduced,Energy and Commerce,"Rep. Babin, Brian [R-TX-36]"
H.R.7391,Rural Hospital Freedom and Flexibility Act of 2018,Introduced,Ways and Means; Energy and Commerce,"Rep. Arrington, Jodey C. [R-TX-19]"
H.R.7390,Violence Against Women Extension Act of 2018,Introduced,Judiciary; Energy and Commerce; Education and the Workforce; Financial Services; Natural Resources; Foreign Affairs,"Rep. Jackson Lee, Sheila [D-TX-18]"
H.R.7389,Federal Permitting Reform and Jobs Act,Introduced,Natural Resources,"Rep. Marino, Tom [R-PA-10]"
H.R.7388,National Flood Insurance Program Competition and Extension Act of 2018,Failed House,Financial Services,"Rep. MacArthur, Thomas [R-NJ-3]"
H.R.7387,Crooked River Ranch Fire Protection Act,Introduced,Natural Resources,"Rep. Walden, Greg [R-OR-2]"
H.R.7386,Faster Access to Federal Student Aid Act of 2018,Introduced,Ways and Means; Education and the Workforce,"Rep. Walberg, Tim [R-MI-7]"
H.R.7385,Disaster Housing Assistance Program Accountability Act,Introduced,Transportation and Infrastructure,"Rep. Titus, Dina [D-NV-1]"
H.R.7384,UIGHUR Act of 2018,Introduced,Foreign Affairs; Oversight and Government; Judiciary,"Rep. Sherman, Brad [D-CA-30]"
H.R.7383,"Too Big To Fail, Too Big To Exist Act",Introduced,Financial Services,"Rep. Sherman, Brad [D-CA-30]"
H.R.7382,Fannie Mae and Freddie Mac Lobbying Regulation Act of 2018,Introduced,Financial Services,"Rep. Royce, Edward R. [R-CA-39]"
H.R.7381,Protect our Girls Act of 2018,Introduced,Judiciary,"Rep. Perry, Scott [R-PA-4]"
H.R.7380,Post-Disaster Assistance Online Accountability Act,Introduced,Transportation and Infrastructure; Small Business; Financial Services,"Rep. Meadows, Mark [R-NC-11]"
H.R.7379,American Agriculture First Act,Introduced,Agriculture,"Rep. Meadows, Mark [R-NC-11]"
H.R.7378,Guidance Clarity Act of 2018,Introduced,Oversight and Government,"Rep. Luetkemeyer, Blaine [R-MO-3]"
H.R.7377,Children of Fallen Servicemembers AMT Relief Act,Introduced,Ways and Means,"Rep. Larsen, Rick [D-WA-2]"
H.R.7376,The Earning Experience Act of 2018,Introduced,Education and the Workforce,"Rep. Kilmer, Derek [D-WA-6]"
H.R.7375,SHELTER Act of 2018,Introduced,Ways and Means; Natural Resources; Financial Services; Budget,"Rep. Jones, Brenda [D-MI-13]"
H.R.7374,Minimum Wage Fairness Act of 2018,Introduced,Education and the Workforce; Oversight and Government; Financial Services,"Rep. Jones, Brenda [D-MI-13]"
H.R.7373,To amend the Internal Revenue Code of 1986 to provide an exemption from FIRPTA for interests held by certain foreign insurance companies.,Introduced,Ways and Means,"Rep. Holding, George [R-NC-2]"
H.R.7372,Protect SNAP Act,Introduced,Agriculture,"Rep. DeLauro, Rosa L. [D-CT-3]"
H.R.7371,"To provide that the Social Security Administration pay fees associated with obtaining a birth certificate or State identification card for purposes of obtaining a replacement social security card for certain victims of domestic violence, and for other purposes.",Introduced,Ways and Means,"Rep. Crist, Charlie [D-FL-13]"
H.R.7370,Spam Calls Task Force Act of 2018,Introduced,Energy and Commerce,"Rep. Crist, Charlie [D-FL-13]"
H.R.7369,DEA Notification Act of 2018,Introduced,Energy and Commerce; Ways and Means; Judiciary,"Rep. Bilirakis, Gus M. [R-FL-12]"
