names,descriptions,statuses,bill_committees,sponsors
H.R.5820,To permit the territories of the United States to provide and furnish statues for placement in the national statuary hall.,Introduced,House Administration,Michael F. Q. San Nicolas
H.R.5819,"To amend title IV of the Employee Retirement Income Security Act of 1974 to require the Pension Benefit Guaranty Corporation, in the case of airline pilots who are required by regulation to retire at age 60, to compute the actuarial value of monthly benefits in the form of a life annuity commencing at age 60.",Introduced,Education and Labor,Scott H. Peters
H.R.5818,"To provide clarification regarding the common or usual name for bison and compliance with section 403 of the Federal Food, Drug, and Cosmetic Act, and for other purposes.",Introduced,Energy and Commerce,Ed Perlmutter
H.R.5817,"To amend title XXVII of the Public Health Service Act, the Internal Revenue Code of 1986, and the Employee Retirement Income Security Act of 1974 to require health plans to provide to participants, beneficiaries, and enrollees an advanced explanation of benefits with respect to items and services scheduled to be received from providers and facilities and to amend title XI of the Social Security Act to require health care providers and health care facilities to provide good faith estimates of the expected charges for furnishing such items and services.",Introduced,Energy and Commerce; Ways and Means; Education and Labor,Devin Nunes
H.R.5816,"To amend title XXVII of the Public Health Service Act, the Internal Revenue Code of 1986, the Employee Retirement Income Security Act of 1974, and title XI of the Social Security Act to require group health plans and health insurance issuers to provide for certain coverage in the case of a change in a provider''s network status, and for other purposes.",Introduced,Energy and Commerce; Ways and Means; Education and Labor,Gwen Moore
H.R.5815,"To adjust the amount of monthly old-age, survivors, and disability insurance payments under title II of the Social Security Act based on locality-based comparability payment rates.",Introduced,Ways and Means,Grace Meng
H.R.5814,"To amend the Immigration and Nationality Act to repeal the public charge ground of deportability, and for other purposes.",Introduced,Judiciary,Grace Meng
H.R.5813,"To provide direct appropriations for certain housing programs, and for other purposes.",Introduced,Appropriations,Grace Meng
H.R.5812,"To require the Secretary of Transportation to set aside certain amounts provided under the BUILD program for rural areas, and for other purposes.",Introduced,Transportation and Infrastructure,Rick Larsen
H.R.5811,"To require the Transportation Security Administration to provide nursing facilities and paid parental leave for Administration personnel, and for other purposes.",Introduced,Homeland Security,John Katko
H.R.5810,To amend the Higher Education Act of 1965 to improve the American History for Freedom grant program.,Introduced,Education and Labor,Earl Blumenauer
H.R.5809,"To amend title XXVII of the Public Health Service Act, the Internal Revenue Code of 1986, and the Employee Retirement Income Security Act of 1974 to require group health plans and health insurance issuers to include certain information on any health insurance membership card issued by such plan or issuer.",Introduced,Energy and Commerce; Ways and Means; Education and Labor,Donald S. Beyer Jr.
H.R.5808,"To amend title XVIII of the Social Security Act to provide for coverage of rural emergency medical access services under the Medicare program, and for other purposes.",Introduced,Ways and Means; Energy and Commerce,Jodey C. Arrington
H.R.5807,"To amend title XXVII of the Public Health Service Act, the Internal Revenue Code of 1986, the Employee Retirement Income Security Act of 1974, and title XI of the Social Security Act to improve the availability and accuracy of provider directory information made available by group health plans and health insurance issuers offering group or individuals health insurance coverage.",Introduced,Energy and Commerce; Ways and Means; Education and Labor,John B. Larson
H.R.5806,"To amend title VII of the Public Health Service Act to provide for a loan repayment program for the HIV clinical and dental workforce, and for other purposes.",Introduced,Energy and Commerce,John Lewis
H.R.5805,"To reauthorize the high-speed rail corridor development program, and for other purposes.",Introduced,Transportation and Infrastructure,Jim Costa
H.R.5804,"To amend the Homeland Security Act of 2002 to enhance the Blue Campaign of the Department of Homeland Security, and for other purposes.",Introduced,Homeland Security; Judiciary,Dan Crenshaw
H.R.5803,"To provide for the admission of the State of Washington, D.C. into the Union.",Introduced,Oversight and Reform; Rules; Armed Services; Judiciary; Energy and Commerce,Eleanor Holmes Norton
H.R.5802,"To require an assessment of the policies, procedures, and practices of the Transportation Security Administration regarding Administration personnel who are parents or guardians of a dependent minor with child care needs or who are expectant parents or guardians of a dependent minor with child care needs, and for other purposes.",Introduced,Homeland Security,J. Luis Correa
H.R.5801,"To amend title 28, United States Code, to establish a procedure for remand of a civil action that has been removed before service on a forum defendant, and for other purposes.",Introduced,Judiciary,"Henry C. ""Hank"" Johnson Jr."
H.R.5800,To end surprise medical billing and increase transparency in health coverage.,Introduced,Energy and Commerce; Education and Labor; Ways and Means; Oversight and Reform,"Robert C. ""Bobby"" Scott"
H.R.5799,"To amend the Federal Water Pollution Control Act with respect to normal farming activities and to require the Corps of Engineers and the Environmental Protection Agency to apply certain decisions of the Secretary of Agriculture when enforcing such Act, and for other purposes.",Introduced,Transportation and Infrastructure,Glenn Thompson
H.R.5798,For the relief of Cesar Carlos Silva Rodriguez.,Introduced,Judiciary; Budget,Steven Horsford
H.R.5797,"To amend title 23, United States Code, with respect to funding the recreational trails program, to require a study to determine the best available estimate of the total amount of nonhighway recreational fuel taxes received by the Secretary of the Treasury, and for other purposes.",Introduced,Transportation and Infrastructure; Ways and Means,Peter Welch
H.R.5796,"To enhance consumer access to electric energy and natural gas information, to allow for the adoption of innovative products and services to help consumers manage their energy usage, and for other purposes.",Introduced,Energy and Commerce,Peter Welch
H.R.5795,"To transfer the administration of the H-2A program from the Secretary of Labor to the Secretary of Agriculture, and for other purposes.",Introduced,Judiciary,W. Gregory Steube
H.R.5794,"To amend the Public Health Service Act to expand research and education with respect to endometrial cancer, and for other purposes.",Introduced,Energy and Commerce,David Scott
H.R.5793,"To ensure operational control of the southwest border, and for other purposes.",Introduced,Homeland Security; Judiciary,Chip Roy
H.R.5792,To amend the Internal Revenue Code of 1986 to repeal the restrictions on which designated beneficiaries may receive over the life of the beneficiary the required distributions from a defined contribution plan.,Introduced,Ways and Means,Bill Posey
H.R.5791,"To establish the position of Special Envoy for Refugees in the Department of State, and for other purposes.",Introduced,Foreign Affairs; Judiciary,Joe Neguse
H.R.5790,"To amend the Public Health Service Act to reauthorize and extend the Fetal Alcohol Spectrum Disorders Prevention and Services program, and for other purposes.",Introduced,Energy and Commerce; Education and Labor,Betty McCollum
H.R.5789,To allow nonprofit child care providers to participate in the loan programs of the Small Business Administration.,Introduced,Small Business,Susie Lee
H.R.5788,"To amend the Fair Housing Act to require a complaint of sexual harassment be annually reported to Congress, and for other purposes.",Introduced,Judiciary,John Katko
H.R.5787,"To amend the Energy Reorganization Act of 1974 to clarify whistleblower rights and protections, and for other purposes.",Introduced,Energy and Commerce,Steven Horsford
H.R.5786,To direct the Secretary of Veterans Affairs to make certain information publicly available on one internet website of the Department of Veterans Affairs.,Introduced,Veterans'' Affairs,Ruben Gallego
H.R.5785,"To amend title 38, United States Code, to prohibit the application of the Department of Veterans Affairs net worth limitation to veterans otherwise eligible for pension payments who are over the age of 99.",Introduced,Veterans'' Affairs,Matt Gaetz
H.R.5784,"To amend the Higher Education Act of 1965 to improve programs for minority students in STEM fields, and for other purposes.",Introduced,Education and Labor,Marcia L. Fudge
H.R.5783,"To amend title 23, United States Code, to modify the transportation finance infrastructure and innovation program with respect to community development financial institutions, and for other purposes.",Introduced,Transportation and Infrastructure,Mark DeSaulnier
H.R.5782,To amend the Internal Revenue Code of 1986 to provide for a credit against tax for qualified special law enforcement officers.,Introduced,Ways and Means,Ted Budd
H.R.5781,"To amend title 38, United States Code, to make an individual who is eligible for educational assistance under chapter 33 of such title, transfers such educational assistance to a dependent, and fails to complete a service agreement, solely liable for any overpayment of such educational assistance.",Introduced,Veterans'' Affairs,Mike Bost
H.R.5780,"To enhance stakeholder outreach to and operational engagement with owners and operators of critical infrastructure and other relevant stakeholders by the Cybersecurity and Infrastructure Security Agency to bolster security against acts of terrorism and other homeland security threats, including by maintaining a clearinghouse of security guidance, best practices, and other voluntary content developed by the Agency or aggregated from trusted sources, and for other purposes.",Introduced,Homeland Security,Lauren Underwood
H.R.5779,"To provide that in the case of a law enforcement officer who uses deadly force against a person, and thereby causes the death of that person, a hearing shall be conducted before a judge to determine whether there is probable cause for the State to bring criminal charges against the law enforcement officer relating to the death of the person, and for other purposes.",Introduced,Judiciary,"Henry C. ""Hank"" Johnson Jr."
H.R.5778,"To provide that any State or local law enforcement agency that has in effect a cooling-off period is ineligible to receive Federal funds pursuant to a Department of Justice law enforcement grant program, and for other purposes.",Introduced,Judiciary,"Henry C. ""Hank"" Johnson Jr."
H.R.5777,"To amend title 18, United States Code, to provide a penalty for assault or homicide committed by certain State or local law enforcement officers, and for other purposes.",Introduced,Judiciary,"Henry C. ""Hank"" Johnson Jr."
H.R.5776,"To amend the National Flood Insurance Act of 1968 to ensure community accountability for areas repetitively damaged by floods, and for other purposes.",Introduced,Financial Services,Earl Blumenauer
H.R.5775,To designate as wilderness certain Federal portions of the red rock canyons of the Colorado Plateau and the Great Basin Deserts in the State of Utah for the benefit of present and future generations of people in the United States.,Introduced,Natural Resources,Alan S. Lowenthal
H.R.5774,"To direct the Secretary of Veterans Affairs to conduct a review on opioid overdose deaths among veterans, and for other purposes.",Introduced,Veterans'' Affairs,Gregory Murphy
H.R.5773,"To amend title 23, United States Code, with respect to vehicle weight limitations for certain vehicles hauling perishable commodities or products, and for other purposes.",Introduced,Transportation and Infrastructure,Rob Woodall
H.R.5772,"To amend title 38, United States Code, to improve the Edith Nourse Rogers STEM Scholarship program.",Introduced,Veterans'' Affairs,Andy Barr
H.R.5771,To amend the Controlled Substances Act to list fentanyl-related substances as schedule I controlled substances.,Introduced,Energy and Commerce; Judiciary,Steve Chabot
H.R.5770,"To establish a national network of electric vehicle charging stations, and for other purposes.",Introduced,Energy and Commerce; Transportation and Infrastructure,Andy Levin
H.R.5769,"To require the Comptroller General of the United States to conduct an audit relating to the impeachment inquiry and trial of Donald J. Trump, President of the United States.",Introduced,House Administration; Oversight and Reform,Bradley Byrne
H.R.5768,"To amend the Higher Education Act of 1965 to protect students and taxpayers by modernizing evaluation and increasing transparency in the accreditation system, and for other purposes.",Introduced,Education and Labor,Lori Trahan
H.R.5767,ENSURE Act of 2020,Introduced,Judiciary,Ilhan Omar
H.R.5766,VET TEC Expansion Act,Introduced,Veterans'' Affairs,Kevin McCarthy
H.R.5765,School Safety Act of 2020,Introduced,Judiciary,Rick Larsen
H.R.5764,SYLLABLE Act,Introduced,Education and Labor,Raul M. Grijalva
H.R.5763,National Telehealth Strategy and Data Advancement Act,Introduced,Energy and Commerce,Greg Gianforte
H.R.5762,"To establish a White House Rural Council, and for other purposes.",Introduced,Agriculture,Matt Cartwright
H.R.5761,AUTO for Veterans Act,Introduced,Veterans'' Affairs,Daniel Meuser
H.R.5760,"To provide for a comprehensive interdisciplinary research, development, and demonstration initiative to strengthen the capacity of the energy sector to prepare for and withstand cyber and physical attacks, and for other purposes.",Introduced,"Science, Space, and Technology; Homeland Security",Ami Bera
H.R.5759,To establish a career pathway grant program.,Introduced,Education and Labor,Alma S. Adams
H.R.5758,Ceiling Fan Improvement Act of 2020,Introduced,Energy and Commerce,Brett Guthrie
H.R.5757,Military SAVE Act,Introduced,Veterans'' Affairs,Andy Barr
H.R.5756,Resiliency Enhancement Act of 2020,Introduced,Transportation and Infrastructure,Stacey E. Plaskett
H.R.5755,No Pensions for Corrupt Politicians Act of 2020,Introduced,House Administration; Oversight and Reform,Josh Harder
H.R.5754,Rural ER Access Act,Introduced,Energy and Commerce; Ways and Means,Mark E. Green
H.R.5753,"To modify the authorization for a project for navigation, and for other purposes.",Introduced,Transportation and Infrastructure,Mike Gallagher
H.R.5752,Conveyance Capacity Correction Act,Introduced,Natural Resources,Jim Costa
H.R.5751,Electric Vehicles for Underserved Communities Act of 2020,Introduced,"Energy and Commerce; Science, Space, and Technology",Yvette D. Clarke
H.R.5750,Streamlining GI Bill Processing Act of 2020,Introduced,Veterans'' Affairs,Gus M. Bilirakis
H.R.5749,Affordable Insulin for All Act,Introduced,Energy and Commerce; Ways and Means,Charlie Crist
H.R.5748,"Jobs, On-the-Job ""Earn-While-You-Learn"" Training, and Apprenticeships for Young African-Americans Act",Introduced,Education and Labor,David Scott
H.R.5747,St. Croix National Heritage Area Act,Introduced,Natural Resources,Stacey E. Plaskett
H.R.5746,To amend the Internal Revenue Code of 1986 to provide special rules for purposes of determining if financial guaranty insurance companies are qualifying insurance corporations under the passive foreign investment company rules.,Introduced,Ways and Means,Gwen Moore
H.R.5745,Bridge Investment Act of 2020,Introduced,Transportation and Infrastructure,Sean Patrick Maloney
H.R.5744,Clearing Lines along Electrical At-Risk Zones Act,Introduced,Natural Resources; Agriculture,Doug LaMalfa
H.R.5743,Protecting the Silos & Smokestacks National Heritage Area Act,Introduced,Natural Resources,Abby Finkenauer
H.R.5742,Energy PRICE Act,Introduced,Energy and Commerce,Sean Casten
H.R.5741,Strengthening Innovation in Medicare and Medicaid Act,Introduced,Energy and Commerce; Ways and Means; Rules,Terri A. Sewell
