Name,State,District,Party,Terms
Ralph Lee Abraham,LA,5.0,R,House: 2015-Present
Alma S. Adams,NC,12.0,D,House: 2014-Present
Robert B. Aderholt,AL,4.0,R,House: 1997-Present
Pete Aguilar,CA,31.0,D,House: 2015-Present
Rick W. Allen,GA,12.0,R,House: 2015-Present
Justin Amash,MI,3.0,I,House: 2011-Present
Mark E. Amodei,NV,2.0,R,House: 2011-Present
Jodey C. Arrington,TX,19.0,R,House: 2017-Present
Brian Babin,TX,36.0,R,House: 2015-Present
Don Bacon,NE,2.0,R,House: 2017-Present
Troy Balderson,OH,12.0,R,House: 2018-Present
Jim Banks,IN,3.0,R,House: 2017-Present
Lou Barletta,PA,11.0,R,House: 2011-2019
Andy Barr,KY,6.0,R,House: 2013-Present
Nanette Diaz Barragan,CA,44.0,D,House: 2017-Present
Joe Barton,TX,6.0,R,House: 1985-2019
Karen Bass,CA,37.0,D,House: 2011-Present
Joyce Beatty,OH,3.0,D,House: 2013-Present
Xavier Becerra,CA,34.0,D,House: 1993-2017
Ami Bera,CA,7.0,D,House: 2013-Present
Jack Bergman,MI,1.0,R,House: 2017-Present
Donald S. Beyer Jr.,VA,8.0,D,House: 2015-Present
Andy Biggs,AZ,5.0,R,House: 2017-Present
Gus M. Bilirakis,FL,12.0,R,House: 2007-Present
Mike Bishop,MI,8.0,R,House: 2015-2019
Rob Bishop,UT,1.0,R,House: 2003-Present
Sanford D. Bishop Jr.,GA,2.0,D,House: 1993-Present
Diane Black,TN,6.0,R,House: 2011-2019
Marsha Blackburn,TN,At Large,R,Senate: 2019-Present | House: 2003-2019
Rod Blum,IA,1.0,R,House: 2015-2019
Earl Blumenauer,OR,3.0,D,House: 1995-Present
Lisa Blunt Rochester,DE,At Large,D,House: 2017-Present
Suzanne Bonamici,OR,1.0,D,House: 2012-Present
Madeleine Z. Bordallo,,At Large,D,House: 2003-2019
Mike Bost,IL,12.0,R,House: 2015-Present
Brendan F. Boyle,PA,2.0,D,House: 2015-Present
Kevin Brady,TX,8.0,R,House: 1997-Present
Robert A. Brady,PA,1.0,D,House: 1997-2019
Dave Brat,VA,7.0,R,House: 2014-2019
Jim Bridenstine,OK,1.0,R,House: 2013-2018
