Name,State,District,Party,Terms
Ralph Lee Abraham,LA,5,R,House: 2015-Present
Alma S. Adams,NC,12,D,House: 2014-Present
Robert B. Aderholt,AL,4,R,House: 1997-Present
Pete Aguilar,CA,31,D,House: 2015-Present
Rick W. Allen,GA,12,R,House: 2015-Present
Colin Z. Allred,TX,32,D,House: 2019-Present
Justin Amash,MI,3,I,House: 2011-Present
Mark E. Amodei,NV,2,R,House: 2011-Present
Kelly Armstrong,ND,'At Large',R,House: 2019-Present
Jodey C. Arrington,TX,19,R,House: 2017-Present
Cynthia Axne,IA,3,D,House: 2019-Present
Brian Babin,TX,36,R,House: 2015-Present
Don Bacon,NE,2,R,House: 2017-Present
James R. Baird,IN,4,R,House: 2019-Present
Troy Balderson,OH,12,R,House: 2018-Present
Jim Banks,IN,3,R,House: 2017-Present
Andy Barr,KY,6,R,House: 2013-Present
Nanette Diaz Barragan,CA,44,D,House: 2017-Present
Karen Bass,CA,37,D,House: 2011-Present
Joyce Beatty,OH,3,D,House: 2013-Present
Ami Bera,CA,7,D,House: 2013-Present
Jack Bergman,MI,1,R,House: 2017-Present
Donald S. Beyer Jr.,VA,8,D,House: 2015-Present
Andy Biggs,AZ,5,R,House: 2017-Present
Gus M. Bilirakis,FL,12,R,House: 2007-Present
Dan Bishop,NC,9,R,House: 2019-Present
Rob Bishop,UT,1,R,House: 2003-Present
Sanford D. Bishop Jr.,GA,2,D,House: 1993-Present
Earl Blumenauer,OR,3,D,House: 1995-Present
Lisa Blunt Rochester,DE,'At Large',D,House: 2017-Present
Suzanne Bonamici,OR,1,D,House: 2012-Present
Mike Bost,IL,12,R,House: 2015-Present
Brendan F. Boyle,PA,2,D,House: 2015-Present
Kevin Brady,TX,8,R,House: 1997-Present
Anthony Brindisi,NY,22,D,House: 2019-Present
Mo Brooks,AL,5,R,House: 2011-Present
Susan W. Brooks,IN,5,R,House: 2013-Present
Anthony G. Brown,MD,4,D,House: 2017-Present
Julia Brownley,CA,26,D,House: 2013-Present
Vern Buchanan,FL,16,R,House: 2007-Present
Ken Buck,CO,4,R,House: 2015-Present
Larry Bucshon,IN,8,R,House: 2011-Present
Ted Budd,NC,13,R,House: 2017-Present
Tim Burchett,TN,2,R,House: 2019-Present
Michael C. Burgess,TX,26,R,House: 2003-Present
Cheri Bustos,IL,17,D,House: 2013-Present
G. K. Butterfield,NC,1,D,House: 2004-Present
Bradley Byrne,AL,1,R,House: 2014-Present
Ken Calvert,CA,42,R,House: 1993-Present
Salud O. Carbajal,CA,24,D,House: 2017-Present
Tony Cardenas,CA,29,D,House: 2013-Present
Andre Carson,IN,7,D,House: 2008-Present
"Earl L. ""Buddy"" Carter",GA,1,R,House: 2015-Present
John R. Carter,TX,31,R,House: 2003-Present
Matt Cartwright,PA,8,D,House: 2013-Present
Ed Case,HI,1,D,"House: 2002-2007, 2019-Present"
Sean Casten,IL,6,D,House: 2019-Present
Kathy Castor,FL,14,D,House: 2007-Present
Joaquin Castro,TX,20,D,House: 2013-Present
Steve Chabot,OH,1,R,"House: 1995-2009, 2011-Present"
Liz Cheney,WY,'At Large',R,House: 2017-Present
Judy Chu,CA,27,D,House: 2009-Present
David N. Cicilline,RI,1,D,House: 2011-Present
Gilbert Ray Cisneros Jr.,CA,39,D,House: 2019-Present
Katherine M. Clark,MA,5,D,House: 2013-Present
Yvette D. Clarke,NY,9,D,House: 2007-Present
Wm. Lacy Clay,MO,1,D,House: 2001-Present
Emanuel Cleaver,MO,5,D,House: 2005-Present
Ben Cline,VA,6,R,House: 2019-Present
Michael Cloud,TX,27,R,House: 2018-Present
James E. Clyburn,SC,6,D,House: 1993-Present
Steve Cohen,TN,9,D,House: 2007-Present
Tom Cole,OK,4,R,House: 2003-Present
Chris Collins,NY,27,R,House: 2013-2019
Doug Collins,GA,9,R,House: 2013-Present
James Comer,KY,1,R,House: 2016-Present
K. Michael Conaway,TX,11,R,House: 2005-Present
Gerald E. Connolly,VA,11,D,House: 2009-Present
Paul Cook,CA,8,R,House: 2013-Present
Jim Cooper,TN,5,D,"House: 1983-1995, 2003-Present"
J. Luis Correa,CA,46,D,House: 2017-Present
Jim Costa,CA,16,D,House: 2005-Present
Joe Courtney,CT,2,D,House: 2007-Present
TJ Cox,CA,21,D,House: 2019-Present
Angie Craig,MN,2,D,House: 2019-Present
"Eric A. ""Rick"" Crawford",AR,1,R,House: 2011-Present
Dan Crenshaw,TX,2,R,House: 2019-Present
Charlie Crist,FL,13,D,House: 2017-Present
Jason Crow,CO,6,D,House: 2019-Present
Henry Cuellar,TX,28,D,House: 2005-Present
Elijah E. Cummings,MD,7,D,House: 1995-2019
Joe Cunningham,SC,1,D,House: 2019-Present
John R. Curtis,UT,3,R,House: 2017-Present
Sharice Davids,KS,3,D,House: 2019-Present
Warren Davidson,OH,8,R,House: 2016-Present
Danny K. Davis,IL,7,D,House: 1997-Present
Rodney Davis,IL,13,R,House: 2013-Present
Susan A. Davis,CA,53,D,House: 2001-Present
Madeleine Dean,PA,4,D,House: 2019-Present
Peter A. DeFazio,OR,4,D,House: 1987-Present
Diana DeGette,CO,1,D,House: 1997-Present
Rosa L. DeLauro,CT,3,D,House: 1991-Present
Suzan K. DelBene,WA,1,D,House: 2012-Present
Antonio Delgado,NY,19,D,House: 2019-Present
Val Butler Demings,FL,10,D,House: 2017-Present
Mark DeSaulnier,CA,11,D,House: 2015-Present
Scott DesJarlais,TN,4,R,House: 2011-Present
Theodore E. Deutch,FL,22,D,House: 2010-Present
Mario Diaz-Balart,FL,25,R,House: 2003-Present
Debbie Dingell,MI,12,D,House: 2015-Present
Lloyd Doggett,TX,35,D,House: 1995-Present
Michael F. Doyle,PA,18,D,House: 1995-Present
Sean P. Duffy,WI,7,R,House: 2011-2019
Jeff Duncan,SC,3,R,House: 2011-Present
Neal P. Dunn,FL,2,R,House: 2017-Present
Tom Emmer,MN,6,R,House: 2015-Present
Eliot L. Engel,NY,16,D,House: 1989-Present
Veronica Escobar,TX,16,D,House: 2019-Present
Anna G. Eshoo,CA,18,D,House: 1993-Present
Adriano Espaillat,NY,13,D,House: 2017-Present
Ron Estes,KS,4,R,House: 2017-Present
Dwight Evans,PA,3,D,House: 2016-Present
A. Drew Ferguson IV,GA,3,R,House: 2017-Present
Abby Finkenauer,IA,1,D,House: 2019-Present
Brian K. Fitzpatrick,PA,1,R,House: 2017-Present
"Charles J. ""Chuck"" Fleischmann",TN,3,R,House: 2011-Present
Lizzie Fletcher,TX,7,D,House: 2019-Present
Bill Flores,TX,17,R,House: 2011-Present
Jeff Fortenberry,NE,1,R,House: 2005-Present
Bill Foster,IL,11,D,"House: 2008-2011, 2013-Present"
Virginia Foxx,NC,5,R,House: 2005-Present
Lois Frankel,FL,21,D,House: 2013-Present
Marcia L. Fudge,OH,11,D,House: 2008-Present
Russ Fulcher,ID,1,R,House: 2019-Present
Tulsi Gabbard,HI,2,D,House: 2013-Present
Matt Gaetz,FL,1,R,House: 2017-Present
Mike Gallagher,WI,8,R,House: 2017-Present
Ruben Gallego,AZ,7,D,House: 2015-Present
John Garamendi,CA,3,D,House: 2009-Present
Jesus G. Garcia,IL,4,D,House: 2019-Present
Sylvia R. Garcia,TX,29,D,House: 2019-Present
Greg Gianforte,MT,'At Large',R,House: 2017-Present
Bob Gibbs,OH,7,R,House: 2011-Present
Louie Gohmert,TX,1,R,House: 2005-Present
Jared F. Golden,ME,2,D,House: 2019-Present
Jimmy Gomez,CA,34,D,House: 2017-Present
Anthony Gonzalez,OH,16,R,House: 2019-Present
Vicente Gonzalez,TX,15,D,House: 2017-Present
Jenniffer Gonzalez-Colon,PR,'At Large',R,House: 2017-Present
Lance Gooden,TX,5,R,House: 2019-Present
Paul A. Gosar,AZ,4,R,House: 2011-Present
Josh Gottheimer,NJ,5,D,House: 2017-Present
Kay Granger,TX,12,R,House: 1997-Present
Garret Graves,LA,6,R,House: 2015-Present
Sam Graves,MO,6,R,House: 2001-Present
Tom Graves,GA,14,R,House: 2010-Present
Al Green,TX,9,D,House: 2005-Present
Mark E. Green,TN,7,R,House: 2019-Present
H. Morgan Griffith,VA,9,R,House: 2011-Present
Raul M. Grijalva,AZ,3,D,House: 2003-Present
Glenn Grothman,WI,6,R,House: 2015-Present
Michael Guest,MS,3,R,House: 2019-Present
Brett Guthrie,KY,2,R,House: 2009-Present
Debra A. Haaland,NM,1,D,House: 2019-Present
Jim Hagedorn,MN,1,R,House: 2019-Present
Josh Harder,CA,10,D,House: 2019-Present
Andy Harris,MD,1,R,House: 2011-Present
Vicky Hartzler,MO,4,R,House: 2011-Present
Alcee L. Hastings,FL,20,D,House: 1993-Present
Jahana Hayes,CT,5,D,House: 2019-Present
Denny Heck,WA,10,D,House: 2013-Present
Kevin Hern,OK,1,R,House: 2018-Present
Jaime Herrera Beutler,WA,3,R,House: 2011-Present
Jody B. Hice,GA,10,R,House: 2015-Present
Brian Higgins,NY,26,D,House: 2005-Present
Clay Higgins,LA,3,R,House: 2017-Present
J. French Hill,AR,2,R,House: 2015-Present
Katie Hill,CA,25,D,House: 2019
