session,roll_num,date,issue,question,result,title
115,710,21-Dec,S 1532,On Motion to Suspend the Rules and Pass,P,No Human Trafficking on Our Roads Act
115,709,21-Dec,H R 4667,On Passage,P,"Making further supplemental appropriations for the fiscal year ending September 30, 2018, for disaster assistance for Hurricanes Harvey, Irma, and Maria, and calendar year 2017 wildfires, and for other purposes"
115,708,21-Dec,H R 1370,On Motion to Concur in the Senate Amendment with an Amendment,P,Department of Homeland Security Blue Campaign Authorization Act of 2017
115,707,21-Dec,JOURNAL,On Approving the Journal,P, 
115,706,21-Dec,S 1393,On Motion to Suspend the Rules and Pass,P,Jobs for Our Heroes Act
115,705,21-Dec,H RES 670,On Agreeing to the Resolution,P,"Providing for consideration of the Senate Amendment to H.R. 1370, the Department of Homeland Security Blue Campaign Authorization Act of 2017; and providing for consideration of H.R. 4667, making further supplemental appropriations for FY 2018, for disaster assistance for Hurricanes and Wildfires in calendar year 2017"
115,704,21-Dec,H RES 670,On Ordering the Previous Question,P,"Providing for consideration of the Senate Amendment to H.R. 1370, the Department of Homeland Security Blue Campaign Authorization Act of 2017; and providing for consideration of H.R. 4667, making further supplemental appropriations for FY 2018, for disaster assistance for Hurricanes and Wildfires in calendar year 2017"
115,703,20-Dec,JOURNAL,On Approving the Journal,P, 
115,702,20-Dec,H R 4015,On Passage,P,Corporate Governance Reform and Transparency Act
115,701,20-Dec,H R 4015,On Motion to Recommit with Instructions,F,Corporate Governance Reform and Transparency Act
115,700,20-Dec,H R 1159,"On Motion to Suspend the Rules and Pass, as Amended",P,United States and Israel Space Cooperation Act
115,699,20-Dec,H R 1,On Motion to Concur in the Senate Amendment,P,Tax Cuts and Jobs Act
115,698,20-Dec,H RES 668,On Agreeing to the Resolution,P,"Providing for consideration of the Senate amendment to H.R. 1, the Tax Cuts and Jobs Act"
115,697,20-Dec,H RES 668,On Ordering the Previous Question,P,"Providing for consideration of the Senate amendment to H.R. 1, the Tax Cuts and Jobs Act"
115,696,19-Dec,JOURNAL,On Approving the Journal,P, 
115,695,19-Dec,S 1536,On Motion to Suspend the Rules and Pass,P,Combating Human Trafficking in Commercial Vehicles Act
115,694,19-Dec,H R 3312,On Passage,P,Systemic Risk Designation Improvement Act of 2017
115,693,19-Dec,H R 4323,"On Motion to Suspend the Rules and Pass, as Amended",P,Supporting Veterans in STEM Careers Act
115,692,19-Dec,H R 1,On Agreeing to the Conference Report,P,Tax Cuts and Jobs Act
115,691,19-Dec,H R 1,On Motion to Recommit Conference Report with Instructions,F,Tax Cuts and Jobs Act
115,690,19-Dec,H R 4254,"On Motion to Suspend the Rules and Pass, as Amended",P,Women in Aerospace Education Act
115,689,19-Dec,H RES 667,On Agreeing to the Resolution,P,Providing for consideration of the conference report to accompany the bill (H.R. 1) the Tax Cuts and Jobs Act; providing for consideration of the bill (H.R. 3312) the Systemic Risk Designation Improvement Act; waiving a requirement of clause 6(a) of rule XIII; and motions to suspend the rules
115,688,19-Dec,H RES 667,On Ordering the Previous Question,P,Providing for consideration of the conference report to accompany the bill (H.R. 1) the Tax Cuts and Jobs Act; providing for consideration of the bill (H.R. 3312) the Systemic Risk Designation Improvement Act; waiving a requirement of clause 6(a) of rule XIII; and motions to suspend the rules
115,687,18-Dec,H R 3979,"On Motion to Suspend the Rules and Pass, as Amended",P,Keep Americas Refuges Operational Act
115,686,18-Dec,H R 4375,"On Motion to Suspend the Rules and Pass, as Amended",P,STEM Research and Education Effectiveness and Transparency Act
115,685,18-Dec,MOTION,On Motion to Fix the Convening Time,P, 
115,684,14-Dec,H R 4324,On Passage,P,Strengthening Oversight of Irans Access to Finance Act
115,683,14-Dec,H R 4324,On Motion to Recommit with Instructions,F,Strengthening Oversight of Irans Access to Finance Act
115,682,14-Dec,H R 2396,On Passage,P,Privacy Notification Technical Clarification Act
115,681,14-Dec,H R 2396,On Motion to Recommit with Instructions,F,Privacy Notification Technical Clarification Act
115,680,13-Dec,H R 1638,On Passage,P,Iranian Leadership Asset Transparency Act
115,679,13-Dec,H RES 657,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 2396, the Privacy Notification Technical Clarifications Act; and providing for consideration of H.R. 4015, the Corporate Governance Reform and Transparency Act of 2017"
115,678,13-Dec,H RES 657,On Ordering the Previous Question,P,"Providing for consideration of H.R. 2396, the Privacy Notification Technical Clarifications Act; and providing for consideration of H.R. 4015, the Corporate Governance Reform and Transparency Act of 2017"
115,677,13-Dec,H RES 658,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 1638, the Iranian Leadership Asset Transparency Act; and providing for consideration of H.R. 4324, the Strengthening Oversight of Irans Access to Finance Act"
115,676,13-Dec,H RES 658,On Ordering the Previous Question,P,"Providing for consideration of H.R. 1638, the Iranian Leadership Asset Transparency Act; and providing for consideration of H.R. 4324, the Strengthening Oversight of Irans Access to Finance Act"
115,675,12-Dec,H R 3971,On Passage,P,Community Institution Mortgage Relief Act of 2017
115,674,12-Dec,H R 3971,On Motion to Recommit with Instructions,F,Community Institution Mortgage Relief Act of 2017
115,673,11-Dec,H R 1730,"On Motion to Suspend the Rules and Pass, as Amended",P,Protecting Religiously Affiliated Institutions Act of 2017
115,672,11-Dec,H R 2706,"On Motion to Suspend the Rules and Pass, as Amended",P,Financial Institution Customer Protection Act of 2017
115,671,7-Dec,H R 2658,"On Motion to Suspend the Rules and Pass, as Amended",P,Venezuela Humanitarian Assistance and Defense of Democratic Governance Act
115,670,7-Dec,H J RES 123,On Passage,P,"Making further continuing appropriations for fiscal year 2018, and for other purposes"
115,669,7-Dec,H R 477,On Passage,P,"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2017"
115,668,7-Dec,JOURNAL,On Approving the Journal,P, 
115,667,7-Dec,H RES 259,"On Motion to Suspend the Rules and Agree, as Amended",P,"Expressing concern and condemnation over the political, economic, social, and humanitarian crisis in Venezuela"
115,666,7-Dec,H RES 647,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 477, Small Business Mergers, Acquisitions Sales, and Brokerage Simplification Act of 2017; providing for consideration of H.R. 3971, Community Institution Mortgage Relief Act of 2017; and providing for consideration of H.J. Res. 123, Making further continuing appropriations, FY 2018"
115,665,7-Dec,H RES 647,On Ordering the Previous Question,P,"Providing for consideration of H.R. 477, Small Business Mergers, Acquisitions Sales, and Brokerage Simplification Act of 2017; providing for consideration of H.R. 3971, Community Institution Mortgage Relief Act of 2017; and providing for consideration of H.J. Res. 123, Making further continuing appropriations, FY 2018"
115,664,6-Dec,H CON RES 90,"On Motion to Suspend the Rules and Agree, as Amended",P,Condemning ethnic cleansing of the Rohingya and calling for an end to the attacks in and an immediate restoration of humanitarian access to the state of Rakhine in Burma
115,663,6-Dec,H R 38,On Passage,P,Concealed Carry Reciprocity Act of 2017
115,662,6-Dec,H R 38,On Motion to Recommit with Instructions,F,Concealed Carry Reciprocity Act of 2017
115,661,6-Dec,S 1266,On Motion to Suspend the Rules and Pass,P,Enhancing Veteran Care Act
115,660,6-Dec,H RES 645,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 38) to amend title 18, United States Code, to provide a means by which nonresidents of a State whose residents may carry concealed firearms may also do so in the State"
115,659,6-Dec,H RES 645,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 38) to amend title 18, United States Code, to provide a means by which nonresidents of a State whose residents may carry concealed firearms may also do so in the State"
