names,descriptions,statuses,bill_committees,sponsors
S.3258,A bill to foster the implementation of the policy of the United States to achieve 355 battle force ships as soon as practicable.,Introduced,Armed Services,"Sen. Wicker, Roger F. [R-MS]"
S.3257,"A bill to designate the facility of the United States Postal Service located at 311 West Wisconsin Avenue in Tomahawk, Wisconsin, as the ""Einar 'Sarge' H. Ingman, Jr. Post Office Building"".",Introduced,Homeland Security and Governmental Affairs,"Sen. Johnson, Ron [R-WI]"
S.3256,"A bill to permit employees to require changes to their work schedules without fear of retaliation and to ensure that employers consider these requests, and to require employers to provide more predictable and stable schedules for employees in certain occupations with evidence of unpredictable and unstable scheduling practices that negatively affect employees, and for other purposes.",Introduced,"Health, Education, Labor, and Pensions","Sen. Warren, Elizabeth [D-MA]"
S.3255,"A bill to repeal the authority under the National Labor Relations Act for States to enact laws prohibiting agreements requiring membership in a labor organization as a condition of employment, and for other purposes.",Introduced,"Health, Education, Labor, and Pensions","Sen. Warren, Elizabeth [D-MA]"
S.3254,"A bill to end the epidemic of gun violence and build safer communities by strengthening Federal firearms laws and supporting gun violence research, intervention, and prevention initiatives.",Introduced,Finance,"Sen. Warren, Elizabeth [D-MA]"
S.3253,Innovators to Entrepreneurs Act of 2020,Introduced,"Commerce, Science, and Transportation","Sen. Coons, Christopher A. [D-DE]"
S.3252,Teleabortion Prevention Act of 2020,Introduced,Judiciary,"Sen. Cassidy, Bill [R-LA]"
S.3251,Veterans Assistance Helpline Act,Introduced,"Commerce, Science, and Transportation","Sen. Rosen, Jacky [D-NV]"
S.3250,DHS Opioid Detection Resilience Act of 2020,Introduced,Homeland Security and Governmental Affairs,"Sen. Cornyn, John [R-TX]"
S.3249,Motorcyclist Advisory Council Reauthorization Act,Introduced,Environment and Public Works,"Sen. Johnson, Ron [R-WI]"
S.3248,United States Anti-Doping Agency Reauthorization Act of 2020,Introduced,"Commerce, Science, and Transportation","Sen. Moran, Jerry [R-KS]"
S.3247,Fracking Ban Act,Introduced,Energy and Natural Resources,"Sen. Sanders, Bernard [I-VT]"
S.3246,SMART Act,Introduced,"Commerce, Science, and Transportation","Sen. Kennedy, John [R-LA]"
S.3245,WORKER Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Cortez Masto, Catherine  [D-NV]"
S.3244,HERO Act of 2020,Introduced,"Health, Education, Labor, and Pensions","Sen. Rosen, Jacky [D-NV]"
S.3243,Simplifying Access to Student Loan Information Act of 2020,Introduced,"Health, Education, Labor, and Pensions","Sen. Shaheen, Jeanne [D-NH]"
S.3242,Safeguarding Americans' Private Records Act of 2020,Introduced,Judiciary,"Sen. Wyden, Ron [D-OR]"
S.3241,"A bill to amend the John D. Dingell, Jr. Conservation, Management, and Recreation Act to establish the Cerro de la Olla Wilderness in the Rio Grande del Norte National Monument, New Mexico.",Introduced,Energy and Natural Resources,"Sen. Heinrich, Martin [D-NM]"
S.3240,Trafficking Survivors Relief Act of 2020,Introduced,Judiciary,"Sen. Gillibrand, Kirsten E. [D-NY]"
S.3239,"William T. Coleman, Jr., Department of Transportation Headquarters Act",Introduced,Environment and Public Works,"Sen. Wicker, Roger F. [R-MS]"
S.3238,Preventive Home Visit Act,Introduced,Finance,"Sen. King, Angus S., Jr. [I-ME]"
S.3237,WELL Seniors Act of 2020,Introduced,Finance,"Sen. King, Angus S., Jr. [I-ME]"
S.3236,Unborn Child Support Act,Introduced,Finance,"Sen. Cramer, Kevin [R-ND]"
S.3235,Veterans Posttraumatic Growth Act,Introduced,Veterans' Affairs,"Sen. McSally, Martha [R-AZ]"
S.3234,Social Security Solvency and Sustainability Act,Introduced,Finance,"Sen. Paul, Rand [R-KY]"
S.3233,Hemophilia SNF Access Act,Introduced,Finance,"Sen. Menendez, Robert [D-NJ]"
S.3232,PLACE Act,Introduced,Finance,"Sen. Schatz, Brian [D-HI]"
S.3231,FAIR Act,Introduced,Homeland Security and Governmental Affairs,"Sen. Schatz, Brian [D-HI]"
S.3230,TA SUPPORT Act,Introduced,Finance,"Sen. Cortez Masto, Catherine  [D-NV]"
S.3229,Solar and Geothermal Tax Credit Expansion Act,Introduced,Finance,"Sen. Cortez Masto, Catherine  [D-NV]"
S.3228,Justice for Victims of Hate Crimes Act,Introduced,Judiciary,"Sen. Klobuchar, Amy [D-MN]"
S.3227,Prevent Future American Sickness Act of 2020,Introduced,Environment and Public Works,"Sen. Sanders, Bernard [I-VT]"
S.3226,Pregnant Women Health and Safety Act of 2020,Introduced,Judiciary,"Sen. Kennedy, John [R-LA]"
S.3225,Eliminating Leftover Expenses for Campaigns from Taxpayers (ELECT) Act of 2020,Introduced,Finance,"Sen. Ernst, Joni  [R-IA]"
S.3224,VA Research Approval Efficiency Act of 2020,Introduced,Veterans' Affairs,"Sen. Cassidy, Bill [R-LA]"
S.3223,Resources to Prevent Youth Vaping Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Shaheen, Jeanne [D-NH]"
S.3222,Student and Student Athlete Opioid Misuse Prevention Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Shaheen, Jeanne [D-NH]"
S.3221,Farm System Reform Act of 2019,Introduced,"Agriculture, Nutrition, and Forestry","Sen. Booker, Cory A. [D-NJ]"
S.3220,Ensuring Access to Direct Support Professionals Act,Introduced,Finance,"Sen. Portman, Rob [R-OH]"
S.3219,Respect Graduate Student Workers Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Sanders, Bernard [I-VT]"
S.3218,Protecting Community Television Act,Introduced,"Commerce, Science, and Transportation","Sen. Markey, Edward J. [D-MA]"
