names,descriptions,statuses,bill_committees,sponsors
S.3258,A bill to foster the implementation of the policy of the United States to achieve 355 battle force ships as soon as practicable.,Introduced,Armed Services,Roger F. Wicker
S.3257,"A bill to designate the facility of the United States Postal Service located at 311 West Wisconsin Avenue in Tomahawk, Wisconsin, as the ""Einar 'Sarge' H. Ingman, Jr. Post Office Building"".",Introduced,Homeland Security and Governmental Affairs,Ron Johnson
S.3256,"A bill to permit employees to require changes to their work schedules without fear of retaliation and to ensure that employers consider these requests, and to require employers to provide more predictable and stable schedules for employees in certain occupations with evidence of unpredictable and unstable scheduling practices that negatively affect employees, and for other purposes.",Introduced,"Health, Education, Labor, and Pensions",Elizabeth Warren
S.3255,"A bill to repeal the authority under the National Labor Relations Act for States to enact laws prohibiting agreements requiring membership in a labor organization as a condition of employment, and for other purposes.",Introduced,"Health, Education, Labor, and Pensions",Elizabeth Warren
S.3254,"A bill to end the epidemic of gun violence and build safer communities by strengthening Federal firearms laws and supporting gun violence research, intervention, and prevention initiatives.",Introduced,Finance,Elizabeth Warren
S.3253,Innovators to Entrepreneurs Act of 2020,Introduced,"Commerce, Science, and Transportation",Christopher A. Coons
S.3252,Teleabortion Prevention Act of 2020,Introduced,Judiciary,Bill Cassidy
S.3251,Veterans Assistance Helpline Act,Introduced,"Commerce, Science, and Transportation",Jacky Rosen
S.3250,DHS Opioid Detection Resilience Act of 2020,Introduced,Homeland Security and Governmental Affairs,John Cornyn
S.3249,Motorcyclist Advisory Council Reauthorization Act,Introduced,Environment and Public Works,Ron Johnson
S.3248,United States Anti-Doping Agency Reauthorization Act of 2020,Introduced,"Commerce, Science, and Transportation",Jerry Moran
S.3247,Fracking Ban Act,Introduced,Energy and Natural Resources,Bernard Sanders
S.3246,SMART Act,Introduced,"Commerce, Science, and Transportation",John Kennedy
S.3245,WORKER Act,Introduced,"Health, Education, Labor, and Pensions",Catherine Cortez Masto
S.3244,HERO Act of 2020,Introduced,"Health, Education, Labor, and Pensions",Jacky Rosen
S.3243,Simplifying Access to Student Loan Information Act of 2020,Introduced,"Health, Education, Labor, and Pensions",Jeanne Shaheen
S.3242,Safeguarding Americans' Private Records Act of 2020,Introduced,Judiciary,Ron Wyden
S.3241,"A bill to amend the John D. Dingell, Jr. Conservation, Management, and Recreation Act to establish the Cerro de la Olla Wilderness in the Rio Grande del Norte National Monument, New Mexico.",Introduced,Energy and Natural Resources,Martin Heinrich
S.3240,Trafficking Survivors Relief Act of 2020,Introduced,Judiciary,Kirsten E. Gillibrand
S.3239,"William T. Coleman, Jr., Department of Transportation Headquarters Act",Introduced,Environment and Public Works,Roger F. Wicker
S.3238,Preventive Home Visit Act,Introduced,Finance,Angus S. King Jr.
S.3237,WELL Seniors Act of 2020,Introduced,Finance,Angus S. King Jr.
S.3236,Unborn Child Support Act,Introduced,Finance,Kevin Cramer
S.3235,Veterans Posttraumatic Growth Act,Introduced,Veterans' Affairs,Martha McSally
S.3234,Social Security Solvency and Sustainability Act,Introduced,Finance,Rand Paul
S.3233,Hemophilia SNF Access Act,Introduced,Finance,Robert Menendez
S.3232,PLACE Act,Introduced,Finance,Brian Schatz
S.3231,FAIR Act,Introduced,Homeland Security and Governmental Affairs,Brian Schatz
S.3230,TA SUPPORT Act,Introduced,Finance,Catherine Cortez Masto
S.3229,Solar and Geothermal Tax Credit Expansion Act,Introduced,Finance,Catherine Cortez Masto
S.3228,Justice for Victims of Hate Crimes Act,Introduced,Judiciary,Amy Klobuchar
S.3227,Prevent Future American Sickness Act of 2020,Introduced,Environment and Public Works,Bernard Sanders
S.3226,Pregnant Women Health and Safety Act of 2020,Introduced,Judiciary,John Kennedy
S.3225,Eliminating Leftover Expenses for Campaigns from Taxpayers (ELECT) Act of 2020,Introduced,Finance,Joni Ernst
S.3224,VA Research Approval Efficiency Act of 2020,Introduced,Veterans' Affairs,Bill Cassidy
S.3223,Resources to Prevent Youth Vaping Act,Introduced,"Health, Education, Labor, and Pensions",Jeanne Shaheen
S.3222,Student and Student Athlete Opioid Misuse Prevention Act,Introduced,"Health, Education, Labor, and Pensions",Jeanne Shaheen
