Committee,Subcommittee,Name,Title
United States Senate Caucus on International Narcotics Control,,John Cornyn,Chairman
United States Senate Caucus on International Narcotics Control,,Chuck Grassley,
United States Senate Caucus on International Narcotics Control,,James E. Risch,
United States Senate Caucus on International Narcotics Control,,David Perdue,
United States Senate Caucus on International Narcotics Control,,Dianne Feinstein,Vice Chairman
United States Senate Caucus on International Narcotics Control,,Sheldon Whitehouse,
United States Senate Caucus on International Narcotics Control,,Jacky Rosen,
Senate Select Committee on Ethics,,Pat Roberts,
Senate Select Committee on Ethics,,James E. Risch,
Senate Select Committee on Ethics,,Christopher A. Coons,Vice Chairman
Senate Select Committee on Ethics,,Brian Schatz,
Senate Select Committee on Ethics,,Jeanne Shaheen,
Senate Committee on Indian Affairs,,John Hoeven,Chairman
Senate Committee on Indian Affairs,,John Barrasso,
Senate Committee on Indian Affairs,,Lisa Murkowski,
Senate Committee on Indian Affairs,,James Lankford,
Senate Committee on Indian Affairs,,Steve Daines,
Senate Committee on Indian Affairs,,Martha McSally,
Senate Committee on Indian Affairs,,Jerry Moran,
Senate Committee on Indian Affairs,,Tom Udall,Vice Chairman
Senate Committee on Indian Affairs,,Maria Cantwell,
Senate Committee on Indian Affairs,,Jon Tester,
Senate Committee on Indian Affairs,,Brian Schatz,
Senate Committee on Indian Affairs,,Catherine Cortez Masto,
Senate Committee on Indian Affairs,,Tina Smith,
Senate Select Committee on Intelligence,,Richard Burr,Chairman
Senate Select Committee on Intelligence,,James E. Risch,
Senate Select Committee on Intelligence,,Marco Rubio,
Senate Select Committee on Intelligence,,Susan M. Collins,
Senate Select Committee on Intelligence,,Roy Blunt,
Senate Select Committee on Intelligence,,Tom Cotton,
Senate Select Committee on Intelligence,,John Cornyn,
Senate Select Committee on Intelligence,,Ben Sasse,
Senate Select Committee on Intelligence,,Mitch McConnell,Ex Officio
Senate Select Committee on Intelligence,,James M. Inhofe,Ex Officio
Senate Select Committee on Intelligence,,Mark R. Warner,Vice Chairman
Senate Select Committee on Intelligence,,Dianne Feinstein,
Senate Select Committee on Intelligence,,Ron Wyden,
Senate Select Committee on Intelligence,,Martin Heinrich,
Senate Select Committee on Intelligence,,Angus S. King Jr.,
Senate Select Committee on Intelligence,,Kamala D. Harris,
Senate Select Committee on Intelligence,,Michael F. Bennet,
Senate Select Committee on Intelligence,,Charles E. Schumer,Ex Officio
Senate Select Committee on Intelligence,,Jack Reed,Ex Officio
Senate Special Committee on Aging,,Susan M. Collins,Chairman
Senate Special Committee on Aging,,Tim Scott,
Senate Special Committee on Aging,,Richard Burr,
Senate Special Committee on Aging,,Martha McSally,
Senate Special Committee on Aging,,Marco Rubio,
Senate Special Committee on Aging,,Josh Hawley,
Senate Special Committee on Aging,,Mike Braun,
Senate Special Committee on Aging,,Rick Scott,
Senate Special Committee on Aging,,Robert P. Casey Jr.,Ranking Member
Senate Special Committee on Aging,,Kirsten E. Gillibrand,
Senate Special Committee on Aging,,Richard Blumenthal,
Senate Special Committee on Aging,,Elizabeth Warren,
Senate Special Committee on Aging,,Doug Jones,
Senate Special Committee on Aging,,Kyrsten Sinema,
Senate Special Committee on Aging,,Jacky Rosen,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Pat Roberts,Chairman
"Senate Committee on Agriculture, Nutrition, and Forestry",,Mitch McConnell,
"Senate Committee on Agriculture, Nutrition, and Forestry",,John Boozman,
"Senate Committee on Agriculture, Nutrition, and Forestry",,John Hoeven,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Joni Ernst,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Cindy Hyde-Smith,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Mike Braun,
"Senate Committee on Agriculture, Nutrition, and Forestry",,David Perdue,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Chuck Grassley,
"Senate Committee on Agriculture, Nutrition, and Forestry",,John Thune,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Deb Fischer,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Debbie Stabenow,Ranking Member
"Senate Committee on Agriculture, Nutrition, and Forestry",,Patrick J. Leahy,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Sherrod Brown,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Amy Klobuchar,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Michael F. Bennet,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Kirsten E. Gillibrand,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Robert P. Casey Jr.,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Tina Smith,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Richard J. Durbin,
"Senate Committee on Agriculture, Nutrition, and Forestry","Commodities, Risk Management, and Trade",John Boozman,Chairman
"Senate Committee on Agriculture, Nutrition, and Forestry","Commodities, Risk Management, and Trade",Mitch McConnell,
"Senate Committee on Agriculture, Nutrition, and Forestry","Commodities, Risk Management, and Trade",John Hoeven,
"Senate Committee on Agriculture, Nutrition, and Forestry","Commodities, Risk Management, and Trade",Cindy Hyde-Smith,
"Senate Committee on Agriculture, Nutrition, and Forestry","Commodities, Risk Management, and Trade",David Perdue,
"Senate Committee on Agriculture, Nutrition, and Forestry","Commodities, Risk Management, and Trade",Chuck Grassley,
"Senate Committee on Agriculture, Nutrition, and Forestry","Commodities, Risk Management, and Trade",Pat Roberts,Ex Officio
"Senate Committee on Agriculture, Nutrition, and Forestry","Commodities, Risk Management, and Trade",Sherrod Brown,Ranking Member
