Name,State,District,Party,Terms
Lamar Alexander,TN,At Large,R,Senate: 2003-Present
Tammy Baldwin,WI,At Large,D,Senate: 2013-Present | House: 1999-2013
John Barrasso,WY,At Large,R,Senate: 2007-Present
Michael F. Bennet,CO,At Large,D,Senate: 2009-Present
Marsha Blackburn,TN,At Large,R,Senate: 2019-Present | House: 2003-2019
Richard Blumenthal,CT,At Large,D,Senate: 2011-Present
Roy Blunt,MO,At Large,R,Senate: 2011-Present | House: 1997-2011
Cory A. Booker,NJ,At Large,D,Senate: 2013-Present
John Boozman,AR,At Large,R,Senate: 2011-Present | House: 2001-2011
Mike Braun,IN,At Large,R,Senate: 2019-Present
Sherrod Brown,OH,At Large,D,Senate: 2007-Present | House: 1993-2007
Richard Burr,NC,At Large,R,Senate: 2005-Present | House: 1995-2005
Maria Cantwell,WA,At Large,D,Senate: 2001-Present | House: 1993-1995
Shelley Moore Capito,WV,At Large,R,Senate: 2015-Present | House: 2001-2015
Benjamin L. Cardin,MD,At Large,D,Senate: 2007-Present | House: 1987-2007
Thomas R. Carper,DE,At Large,D,Senate: 2001-Present | House: 1983-1993
Robert P. Casey Jr.,PA,At Large,D,Senate: 2007-Present
Bill Cassidy,LA,At Large,R,Senate: 2015-Present | House: 2009-2015
Susan M. Collins,ME,At Large,R,Senate: 1997-Present
Christopher A. Coons,DE,At Large,D,Senate: 2010-Present
John Cornyn,TX,At Large,R,Senate: 2002-Present
Catherine Cortez Masto,NV,At Large,D,Senate: 2017-Present
Tom Cotton,AR,At Large,R,Senate: 2015-Present | House: 2013-2015
Kevin Cramer,ND,At Large,R,Senate: 2019-Present | House: 2013-2019
Mike Crapo,ID,At Large,R,Senate: 1999-Present | House: 1993-1999
Ted Cruz,TX,At Large,R,Senate: 2013-Present
Steve Daines,MT,At Large,R,Senate: 2015-Present | House: 2013-2015
Tammy Duckworth,IL,At Large,D,Senate: 2017-Present | House: 2013-2017
Richard J. Durbin,IL,At Large,D,Senate: 1997-Present | House: 1983-1997
Michael B. Enzi,WY,At Large,R,Senate: 1997-Present
Joni Ernst,IA,At Large,R,Senate: 2015-Present
Dianne Feinstein,CA,At Large,D,Senate: 1992-Present
Deb Fischer,NE,At Large,R,Senate: 2013-Present
Cory Gardner,CO,At Large,R,Senate: 2015-Present | House: 2011-2015
Kirsten E. Gillibrand,NY,At Large,D,Senate: 2009-Present | House: 2007-2009
Lindsey Graham,SC,At Large,R,Senate: 2003-Present | House: 1995-2003
Chuck Grassley,IA,At Large,R,Senate: 1981-Present | House: 1975-1981
